,Subdistrict Name,State Name,District Name
2,Kupwara,JAMMU & KASHMIR,Kupwara
3,Handwara,JAMMU & KASHMIR,Kupwara
4,Karnah,JAMMU & KASHMIR,Kupwara
6,Gurez,JAMMU & KASHMIR,Baramula
7,Bandipore,JAMMU & KASHMIR,Baramula
8,Sonawari,JAMMU & KASHMIR,Baramula
9,Sopore,JAMMU & KASHMIR,Baramula
10,Pattan,JAMMU & KASHMIR,Baramula
11,Baramula,JAMMU & KASHMIR,Baramula
12,Uri,JAMMU & KASHMIR,Baramula
13,Gulmarg,JAMMU & KASHMIR,Baramula
15,Kangan,JAMMU & KASHMIR,Srinagar
16,Ganderbal,JAMMU & KASHMIR,Srinagar
17,Srinagar,JAMMU & KASHMIR,Srinagar
19,Beerwah,JAMMU & KASHMIR,Badgam
20,Badgam,JAMMU & KASHMIR,Badgam
21,Chadura,JAMMU & KASHMIR,Badgam
23,Pampore,JAMMU & KASHMIR,Pulwama
24,Tral,JAMMU & KASHMIR,Pulwama
25,Pulwama,JAMMU & KASHMIR,Pulwama
26,Shupiyan,JAMMU & KASHMIR,Pulwama
28,Pahalgam,JAMMU & KASHMIR,Anantnag
29,Bijbehara,JAMMU & KASHMIR,Anantnag
30,Anantnag,JAMMU & KASHMIR,Anantnag
31,Kulgam,JAMMU & KASHMIR,Anantnag
32,Duru,JAMMU & KASHMIR,Anantnag
34,Leh,JAMMU & KASHMIR,Leh (Ladakh)
36,Kargil,JAMMU & KASHMIR,Kargil
37,Zanskar,JAMMU & KASHMIR,Kargil
39,Banihal,JAMMU & KASHMIR,Doda
40,Ramban,JAMMU & KASHMIR,Doda
41,Doda,JAMMU & KASHMIR,Doda
42,Kishtwar,JAMMU & KASHMIR,Doda
43,Thathri,JAMMU & KASHMIR,Doda
44,Bhalessa (Gandoh),JAMMU & KASHMIR,Doda
45,Bhaderwah,JAMMU & KASHMIR,Doda
47,Gool Gulab Garh,JAMMU & KASHMIR,Udhampur
48,Reasi,JAMMU & KASHMIR,Udhampur
49,Udhampur,JAMMU & KASHMIR,Udhampur
50,Chenani,JAMMU & KASHMIR,Udhampur
51,Ramnagar,JAMMU & KASHMIR,Udhampur
53,Haveli,JAMMU & KASHMIR,Punch
54,Mendhar,JAMMU & KASHMIR,Punch
55,Surankote,JAMMU & KASHMIR,Punch
57,Thanamandi,JAMMU & KASHMIR,Rajauri
58,Rajauri,JAMMU & KASHMIR,Rajauri
59,Budhal,JAMMU & KASHMIR,Rajauri
60,Kalakote,JAMMU & KASHMIR,Rajauri
61,Nowshehra ,JAMMU & KASHMIR,Rajauri
62,Sunderbani  ,JAMMU & KASHMIR,Rajauri
64,Akhnoor,JAMMU & KASHMIR,Jammu
65,Jammu,JAMMU & KASHMIR,Jammu
66,Ranbirsinghpora,JAMMU & KASHMIR,Jammu
67,Bishna,JAMMU & KASHMIR,Jammu
68,Samba,JAMMU & KASHMIR,Jammu
70,Billawar,JAMMU & KASHMIR,Kathua
71,Bashohli,JAMMU & KASHMIR,Kathua
72,Kathua,JAMMU & KASHMIR,Kathua
73,Hiranagar,JAMMU & KASHMIR,Kathua
76,Pangi(T),HIMACHAL PRADESH,Chamba
77,Chaurah(T),HIMACHAL PRADESH,Chamba
78,Saluni(T),HIMACHAL PRADESH,Chamba
79,Bhalai(S.T),HIMACHAL PRADESH,Chamba
80,Dalhousie(T),HIMACHAL PRADESH,Chamba
81,Bhattiyat(T),HIMACHAL PRADESH,Chamba
82,Sihunta(S.T),HIMACHAL PRADESH,Chamba
83,Chamba(T),HIMACHAL PRADESH,Chamba
84,Holi(S.T),HIMACHAL PRADESH,Chamba
85,Brahmaur(T),HIMACHAL PRADESH,Chamba
87,Nurpur(T),HIMACHAL PRADESH,Kangra
88,Indora(T),HIMACHAL PRADESH,Kangra
89,Fatehpur(T),HIMACHAL PRADESH,Kangra
90,Jawali(T),HIMACHAL PRADESH,Kangra
91,Harchakian(S.T),HIMACHAL PRADESH,Kangra
92,Shahpur(T),HIMACHAL PRADESH,Kangra
93,Dharmsala(T),HIMACHAL PRADESH,Kangra
94,Kangra(T),HIMACHAL PRADESH,Kangra
95,Baroh(T),HIMACHAL PRADESH,Kangra
96,Dera Gopipur(T),HIMACHAL PRADESH,Kangra
97,Jaswan(T),HIMACHAL PRADESH,Kangra
98,Rakkar(S.T),HIMACHAL PRADESH,Kangra
99,Khundian(T),HIMACHAL PRADESH,Kangra
100,Thural(S.T),HIMACHAL PRADESH,Kangra
101,Dhira(S.T),HIMACHAL PRADESH,Kangra
102,Jai Singhpur(T),HIMACHAL PRADESH,Kangra
103,Palampur(T),HIMACHAL PRADESH,Kangra
104,Baijnath(T),HIMACHAL PRADESH,Kangra
105,Multhan(S.T),HIMACHAL PRADESH,Kangra
107,Udaipur (S.T),HIMACHAL PRADESH,Lahul & Spiti
108,Lahul     (T),HIMACHAL PRADESH,Lahul & Spiti
109,Spiti       (T),HIMACHAL PRADESH,Lahul & Spiti
111,Manali(T),HIMACHAL PRADESH,Kullu
112,Kullu(T),HIMACHAL PRADESH,Kullu
113,Sainj(S.T),HIMACHAL PRADESH,Kullu
114,Banjar(T),HIMACHAL PRADESH,Kullu
115,Ani(S.T),HIMACHAL PRADESH,Kullu
116,Nermand(T),HIMACHAL PRADESH,Kullu
118,Padhar(T),HIMACHAL PRADESH,Mandi
119,Jogindarnagar(T),HIMACHAL PRADESH,Mandi
120,Lad Bharol(T),HIMACHAL PRADESH,Mandi
121,Sandhol(S.T),HIMACHAL PRADESH,Mandi
122,Dharmpur(S.T),HIMACHAL PRADESH,Mandi
123,Kotli(S.T),HIMACHAL PRADESH,Mandi
124,Sarkaghat(T),HIMACHAL PRADESH,Mandi
125,Baldwara(S.T),HIMACHAL PRADESH,Mandi
126,Sundarnagar(T),HIMACHAL PRADESH,Mandi
127,Mandi(T),HIMACHAL PRADESH,Mandi
128,Aut(S.T),HIMACHAL PRADESH,Mandi
129,Bali Chowki(S.T),HIMACHAL PRADESH,Mandi
130,Thunag(T),HIMACHAL PRADESH,Mandi
131,Chachyot(T),HIMACHAL PRADESH,Mandi
132,Nihri(S.T),HIMACHAL PRADESH,Mandi
133,Karsog(T),HIMACHAL PRADESH,Mandi
135,Tira Sujanpur(T),HIMACHAL PRADESH,Hamirpur
136,Nadaun(T),HIMACHAL PRADESH,Hamirpur
137,Hamirpur(T),HIMACHAL PRADESH,Hamirpur
138,Barsar(T),HIMACHAL PRADESH,Hamirpur
139,Dhatwal(ST),HIMACHAL PRADESH,Hamirpur
140,Bhoranj(T),HIMACHAL PRADESH,Hamirpur
142,Bharwain(S.T),HIMACHAL PRADESH,Una
143,Amb(T),HIMACHAL PRADESH,Una
144,Bangana(T),HIMACHAL PRADESH,Una
145,Una(T),HIMACHAL PRADESH,Una
146,Haroli(S.T),HIMACHAL PRADESH,Una
148,Ghumarwin(T),HIMACHAL PRADESH,Bilaspur
149,Jhanduta(T),HIMACHAL PRADESH,Bilaspur
150,Naina Devi(S.T),HIMACHAL PRADESH,Bilaspur
151,Bilaspur Sadar(T),HIMACHAL PRADESH,Bilaspur
153,Arki(T),HIMACHAL PRADESH,Solan
154,Ramshahr(S.T),HIMACHAL PRADESH,Solan
155,Nalagarh(T),HIMACHAL PRADESH,Solan
156,Krishangarh(S.T),HIMACHAL PRADESH,Solan
157,Kasauli(T),HIMACHAL PRADESH,Solan
158,Solan(T),HIMACHAL PRADESH,Solan
159,Kandaghat(T),HIMACHAL PRADESH,Solan
161,Rajgarh(T),HIMACHAL PRADESH,Sirmaur
162,Nohra(S.T),HIMACHAL PRADESH,Sirmaur
163,Pachhad(T),HIMACHAL PRADESH,Sirmaur
164,Renuka(T),HIMACHAL PRADESH,Sirmaur
165,Dadahu(S.T),HIMACHAL PRADESH,Sirmaur
166,Nahan(T),HIMACHAL PRADESH,Sirmaur
167,Paonta Sahib(T),HIMACHAL PRADESH,Sirmaur
168,Kamrau(S.T),HIMACHAL PRADESH,Sirmaur
169,Shalai(T),HIMACHAL PRADESH,Sirmaur
170,Ronhat(S.T),HIMACHAL PRADESH,Sirmaur
172,Rampur(T),HIMACHAL PRADESH,Shimla
173,Nankhari(S.T),HIMACHAL PRADESH,Shimla
174,Kumharsain(T),HIMACHAL PRADESH,Shimla
175,Seoni(T),HIMACHAL PRADESH,Shimla
176,Shimla Rural(T),HIMACHAL PRADESH,Shimla
177,Shimla Urban(T),HIMACHAL PRADESH,Shimla
178,Junga(S.T),HIMACHAL PRADESH,Shimla
179,Theog(T),HIMACHAL PRADESH,Shimla
180,Chaupal(T),HIMACHAL PRADESH,Shimla
181,Cheta(S.T),HIMACHAL PRADESH,Shimla
182,Nerua(S.T),HIMACHAL PRADESH,Shimla
183,Jubbal(T),HIMACHAL PRADESH,Shimla
184,Kotkhai(T),HIMACHAL PRADESH,Shimla
185,Tikar(S.T),HIMACHAL PRADESH,Shimla
186,Rohru(T),HIMACHAL PRADESH,Shimla
187,Chirgaon(T),HIMACHAL PRADESH,Shimla
188,Dodra Kwar(T),HIMACHAL PRADESH,Shimla
190,Hangrang(S.T),HIMACHAL PRADESH,Kinnaur
191,Poo(T),HIMACHAL PRADESH,Kinnaur
192,Morang(T),HIMACHAL PRADESH,Kinnaur
193,Kalpa(T),HIMACHAL PRADESH,Kinnaur
194,Nichar(T),HIMACHAL PRADESH,Kinnaur
195,Sangla(T),HIMACHAL PRADESH,Kinnaur
198,Dhar Kalan,PUNJAB,Gurdaspur
199,Pathankot,PUNJAB,Gurdaspur
200,Gurdaspur,PUNJAB,Gurdaspur
201,Batala,PUNJAB,Gurdaspur
202,Dera Baba Nanak,PUNJAB,Gurdaspur
204,Ajnala,PUNJAB,Amritsar
205,Amritsar -I,PUNJAB,Amritsar
206,Amritsar- II,PUNJAB,Amritsar
207,Tarn-Taran,PUNJAB,Amritsar
208,Patti,PUNJAB,Amritsar
209,Khadur Sahib,PUNJAB,Amritsar
210,Baba Bakala,PUNJAB,Amritsar
212,Bhulath,PUNJAB,Kapurthala
213,Kapurthala,PUNJAB,Kapurthala
214,Sultanpur Lodhi,PUNJAB,Kapurthala
215,Phagwara,PUNJAB,Kapurthala
217,Shahkot,PUNJAB,Jalandhar
218,Nakodar,PUNJAB,Jalandhar
219,Phillaur,PUNJAB,Jalandhar
220,Jalandhar - I,PUNJAB,Jalandhar
221,Jalandhar -II,PUNJAB,Jalandhar
223,Dasua,PUNJAB,Hoshiarpur
224,Mukerian,PUNJAB,Hoshiarpur
225,Hoshiarpur,PUNJAB,Hoshiarpur
226,Garhshankar,PUNJAB,Hoshiarpur
228,Nawanshahr,PUNJAB,Nawanshahr
229,Balachaur,PUNJAB,Nawanshahr
231,Anandpur Sahib,PUNJAB,Rupnagar
232,Rupnagar,PUNJAB,Rupnagar
233,Kharar,PUNJAB,Rupnagar
234,S.A.S.Nagar (Mohali),PUNJAB,Rupnagar
236,Bassi Pathana,PUNJAB,Fatehgarh Sahib
237,Fatehgarh Sahib,PUNJAB,Fatehgarh Sahib
238,Amloh,PUNJAB,Fatehgarh Sahib
239,Khamanon,PUNJAB,Fatehgarh Sahib
241,Samrala,PUNJAB,Ludhiana
242,Khanna,PUNJAB,Ludhiana
243,Payal,PUNJAB,Ludhiana
244,Ludhiana (East),PUNJAB,Ludhiana
245,Ludhiana (West),PUNJAB,Ludhiana
246,Raikot,PUNJAB,Ludhiana
247,Jagraon,PUNJAB,Ludhiana
249,Nihal Singhwala,PUNJAB,Moga
250,Bagha Purana,PUNJAB,Moga
251,Moga,PUNJAB,Moga
253,Zira,PUNJAB,Firozpur
254,Firozepur,PUNJAB,Firozpur
255,Jalalabad,PUNJAB,Firozpur
256,Fazilka,PUNJAB,Firozpur
257,Abohar,PUNJAB,Firozpur
259,Malout,PUNJAB,Muktsar
260,Giddarbaha,PUNJAB,Muktsar
261,Muktsar,PUNJAB,Muktsar
263,Faridkot,PUNJAB,Faridkot
264,Jaitu,PUNJAB,Faridkot
266,Rampura Phul,PUNJAB,Bathinda
267,Bathinda,PUNJAB,Bathinda
268,Talwandi Sabo,PUNJAB,Bathinda
270,Sardulgarh,PUNJAB,Mansa
271,Budhlada,PUNJAB,Mansa
272,Mansa,PUNJAB,Mansa
274,Barnala,PUNJAB,Sangrur
275,Malerkotla,PUNJAB,Sangrur
276,Dhuri,PUNJAB,Sangrur
277,Sangrur,PUNJAB,Sangrur
278,Sunam,PUNJAB,Sangrur
279,Moonak,PUNJAB,Sangrur
281,Samana,PUNJAB,Patiala
282,Nabha,PUNJAB,Patiala
283,Patiala,PUNJAB,Patiala
284,Rajpura,PUNJAB,Patiala
